date,sum_cases
2/24/2020,229
2/25/2020,322
2/26/2020,400
2/27/2020,650
2/28/2020,888
2/29/2020,1128
3/1/2020,1694
3/2/2020,2036
3/3/2020,2502
3/4/2020,3089
3/5/2020,3858
3/6/2020,4636
3/7/2020,5883
3/8/2020,7375
3/9/2020,9172
3/10/2020,10149
3/11/2020,12462
3/12/2020,15113
3/13/2020,17660
3/14/2020,21157
3/15/2020,24747
3/16/2020,27980
3/17/2020,31506
3/18/2020,35713
3/19/2020,41035
3/20/2020,47021
3/21/2020,53578
3/22/2020,59138
3/23/2020,63927
3/24/2020,69176
3/25/2020,74386
3/26/2020,80539
3/27/2020,86498
3/28/2020,92472
3/29/2020,97689
3/30/2020,101739
3/31/2020,105792
4/1/2020,110574
4/2/2020,115242
4/3/2020,119827
4/4/2020,124632
4/5/2020,128948
4/6/2020,132547
4/7/2020,135586
4/8/2020,139422
4/9/2020,143626
4/10/2020,147577
4/11/2020,152271
4/12/2020,156363
4/13/2020,159516
4/14/2020,162488
4/15/2020,165155
4/16/2020,168941
4/17/2020,172434
4/18/2020,175925
4/19/2020,178972
4/20/2020,181228
4/21/2020,183957
4/22/2020,187327
4/23/2020,189973
4/24/2020,192994
